ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
3086.635286,8621.221546,30475.6543,5850.052982,30297.99107,14419.07693,29535.72466,26981.03423,8911.971505,7856.78467,74051.69812,27638.14218,20560.16187,23219.5685,24916.92021,196280.1951,1
2370.763796,7510.276601,25705.01675,6324.141747,22837.19128,11469.37789,26961.50688,25486.81394,6866.200471,6784.073207,54161.27546,22232.07332,16496.18897,18474.70584,19721.44729,163256.5716,1
2620.843732,8894.305223,31362.6053,8663.552746,26081.57835,14840.34494,31210.84529,24986.89977,7068.276276,6918.50067,63592.52381,33346.1001,17767.67042,21298.29688,20932.41142,147883.5738,1
2382.734424,8311.657227,26962.5264,8143.235884,28099.19268,14091.50868,30400.80162,29171.7512,7652.381465,8031.40272,62401.09943,26083.5748,21180.10594,18157.28131,17994.01988,158865.5617,1
2783.856377,8311.818538,22473.44597,8182.667804,34570.17748,12722.07195,27228.60031,26801.81969,9623.474186,7879.889916,58301.36565,26645.18571,22131.88662,19329.09416,20032.29026,157892.3613,1
2286.136812,7573.599913,20057.51581,7105.729181,35226.56622,10212.27434,26902.78126,30685.75917,8315.035202,8235.381985,59033.33988,19648.67888,23803.05173,18496.59616,19442.90383,169199.7046,1
3038.981609,7437.383734,63844.61211,9357.419831,61462.92577,20242.1961,25564.43757,26205.35578,12210.79863,8526.597327,89080.50937,23494.52444,26370.8167,20659.00566,17970.44939,143021.1082,1
3522.130216,6615.205942,78915.85269,10867.12665,63470.90985,24996.13003,30189.9699,28900.95491,10787.77103,8991.999322,107475.6045,30567.11807,29330.46497,22601.64983,18412.93124,142860.8711,1
3919.667651,5567.578249,106148.2327,11082.95077,77891.24373,32154.37529,27036.94484,21213.09418,12378.06905,8818.99226,135985.4603,28131.18079,30326.42214,20482.62641,17124.51522,85476.77402,1
2776.371092,7056.637863,72471.46991,9096.616117,51580.52346,24220.27008,28351.36534,20683.47477,8672.406887,8370.085151,114829.654,26124.97841,26477.05282,17680.55533,16603.12678,80491.61476,1
