ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
7715.794912,14956.6177,23537.36832,12453.56782,22751.03952,16970.07301,26847.87353,26342.88734,15294.13909,16259.58302,33106.72891,20731.48644,21488.81831,18674.74391,24396.30998,62208.76835,1
6919.923325,14071.39832,21761.22018,12409.18061,20564.84882,15798.46968,25678.54738,25799.72066,14241.35997,15253.05742,30430.29647,19524.51878,19254.64836,16950.59747,21135.45709,57860.60965,1
7452.804996,14563.72509,23641.54766,14648.81404,22350.77362,16624.68052,25358.48281,25648.60189,14922.11704,15594.87537,32476.34306,23385.0115,21017.29919,19069.11884,20893.0529,53192.50161,1
7047.194578,13698.15922,21684.59781,14878.77037,21904.2201,16116.90434,25655.60763,27380.62736,14854.05717,16263.72468,30966.36466,22508.85979,21703.92979,18155.47287,20912.22855,52674.51702,1
7456.3474,13307.17686,20132.13774,15065.52398,23806.5705,15910.39637,24003.08163,26005.53514,15930.37694,16287.31878,29660.84936,23201.35275,22236.40627,19547.85503,21908.58705,50580.73963,1
6597.697005,12953.96031,19524.14225,13997.17548,24107.79611,15679.65812,25122.0417,28351.32494,14675.29479,15759.01755,30131.12935,21150.15498,21556.75304,18476.8684,21500.39138,53736.23413,1
7401.292763,13180.41356,30086.93993,15480.34267,30369.43562,19000.94737,23470.66081,25838.79915,16226.0963,15950.59196,37608.13427,23367.44785,22888.21505,19990.26705,21071.27926,49270.91497,1
7831.494268,13252.32986,34556.01874,16968.54465,31552.76007,20565.10543,26057.64804,27294.08813,15272.19904,16780.41251,44355.52245,25445.49777,24269.62028,20267.83105,21964.44577,49789.9097,1
8346.239185,13062.13227,42424.20075,18503.50484,35122.97953,23729.13045,25471.77853,23516.75965,16397.07132,17696.74191,49995.07752,24553.80056,25044.44494,19597.41723,22350.51056,41426.68897,1
7132.355925,13407.43753,37602.65824,17260.89063,30729.67388,21700.44966,26222.03016,24030.42877,15094.69054,18096.5001,46649.32131,23798.91287,24449.24244,18198.53828,21450.3498,40833.7028,1
6218.282838,13166.74689,36529.02852,15584.83608,28789.59393,19916.59868,21872.88741,22783.0945,14934.47907,17613.79885,42077.48855,21087.72607,21820.08858,16644.88328,20094.24459,39724.57733,1
5865.205508,12396.55652,30557.10664,13580.19909,25499.56565,17022.46105,20586.36885,23495.96755,13219.23368,16793.38043,36770.30063,20453.17428,21366.95629,16623.35835,19053.91619,40488.55016,1
6240.563838,12110.40908,29144.06405,12792.11422,23705.13831,16138.0435,19930.60983,23082.96509,12830.17765,17210.67613,33936.51035,19403.92822,20790.64025,15557.19794,18382.48748,41955.17572,1
6714.207109,12462.55189,28594.23815,13469.11246,20871.11201,15524.74158,21542.17801,22118.31218,12020.18151,16697.64984,32534.64595,20195.2688,21963.29934,15409.99901,19028.76904,41320.48751,1
6660.370232,12600.72895,27598.11945,12906.44913,19573.66141,15522.35158,20921.895,20251.33265,12560.59814,15755.51537,33706.75432,19330.36484,19825.54671,15211.02227,17349.18208,41038.09839,1
6287.155499,11617.54246,23833.57406,12966.70696,18077.3087,13739.27261,18910.83594,19149.01358,12269.48671,14857.67132,32359.80756,17947.01663,18069.88488,14678.89564,17013.13539,38569.3887,1
6301.272153,10898.31482,23102.15307,12209.42385,18997.44336,13896.49244,17685.64597,18793.66436,12587.85612,15152.5799,31338.92634,16644.66583,16261.27213,14067.34607,15161.44227,38982.94834,1
6599.461478,10815.80227,23014.62433,12300.16179,20009.20047,13471.45856,16615.72091,19920.92772,12875.62508,15531.30237,29937.0928,17140.07043,16055.50569,14305.8148,16539.50197,38937.5307,1
6695.686544,11325.25195,22957.14504,11926.46552,19817.15705,13296.6221,17774.4915,20771.67795,12300.09752,14818.16358,28283.3812,16754.41365,15993.11792,14004.00101,15724.51935,41474.91623,1
6414.142811,12278.995,20085.56582,11584.26183,19616.36266,12780.78207,18953.11955,20345.65381,12613.93351,15577.01293,28096.62516,15817.55801,15666.22324,13756.87425,16913.47221,42377.86866,1
5680.616108,12240.89396,17566.3029,11435.10914,17598.21867,11118.40681,19773.25707,20900.11216,11646.72053,15768.05611,25005.72128,14051.24579,14748.63707,11866.79524,16324.21256,43260.18988,1
5325.67075,12111.67726,16043.68937,10685.55777,17363.32838,10754.24818,18593.77948,19673.19918,11819.51655,15933.12438,24686.6619,13271.34623,13954.8566,11739.26001,16190.52375,39796.54628,1
5133.753395,11905.35481,16795.81814,10392.59138,15931.96376,11006.57283,18379.36621,20215.87191,11542.02867,15586.10328,25018.72399,14203.81285,13673.41371,12013.22276,15955.31922,40429.80045,1
5152.781634,13340.98715,15943.13238,10494.20658,13960.50361,11179.24847,18335.56289,18801.56619,11891.74612,16628.49985,24090.65152,14027.56667,13974.09884,11893.8852,15548.69802,37623.35924,1
5739.03778,14652.57878,15249.11461,10769.12078,13995.6997,11220.27803,18915.43646,19432.62894,12706.15227,15865.99338,22287.8602,13162.79734,13162.72445,10988.45069,15190.30046,36385.56573,1
6035.533848,14875.5892,13589.18032,10746.74848,14334.07642,10486.03084,18886.91205,20336.51336,13137.58789,15335.96673,20131.9943,11845.59021,13272.70958,10291.90711,15051.94299,37035.08107,1
6281.483316,13938.45629,12963.10988,10274.08457,14741.06939,10149.96209,19707.2777,21270.71385,13199.61921,13439.95349,18358.82471,11967.96177,11941.02949,10113.25329,15237.98351,39622.80173,1
6557.967618,13704.61824,13345.38324,10094.80475,14083.03865,10046.39288,20092.55102,23946.34291,13158.40571,13542.02952,18802.48905,12999.75366,12970.39039,11212.47487,15730.78689,45589.99029,1
6910.178533,13695.62644,15076.86965,9751.868995,14138.98236,10435.77577,21429.4298,23867.33673,13223.45392,13465.73492,19934.86687,13948.31916,12691.36957,11217.7568,15208.16932,41797.17577,1
7045.139183,13639.38722,15043.37092,9781.134898,13519.85104,10803.66577,20775.84757,21966.7153,13799.52818,14772.09247,20205.27117,14007.02041,13895.65569,11636.87372,15274.57282,39195.65972,1
6644.448002,12803.95989,14200.57738,9351.012371,14413.08362,11597.55515,21119.9434,20005.05235,13754.07014,15914.21327,20742.30605,12983.55777,14203.29171,11040.14882,15940.31314,37348.79885,1
6311.288957,15829.40574,13176.16581,9835.398109,14307.12932,11496.29258,19594.41434,17926.27324,15737.59038,15800.68904,19081.0492,12334.04935,13505.32186,10424.08774,16534.76802,37848.54867,1
6685.731588,18190.97368,13968.37436,11309.9299,14838.36901,11351.0351,20349.51772,19640.62226,16764.76263,14934.96125,18656.93895,11947.66706,12784.44417,10110.61423,17550.08527,40946.88579,1
6567.892527,18591.74741,13766.62329,12073.55037,13641.8081,9775.663225,18592.82105,18368.19423,16653.6393,13661.56067,17328.81201,12415.46948,12010.4957,10111.09179,16551.46426,37575.75336,1
6922.776706,16612.75282,12367.39483,11820.92894,13528.80415,9058.397475,18060.1579,19300.12145,14587.11935,13273.55429,17048.66857,11831.73354,12300.78107,10038.21716,16081.71428,35242.9823,1
7126.147505,15588.47112,12071.30278,10984.22105,14054.25346,8794.648897,17033.38659,19551.11325,13576.32876,13811.38631,17027.35684,12548.21098,12239.44607,10536.79797,14792.91404,31090.69032,1
7241.764253,15378.81047,12922.30833,10717.70169,14323.96237,9393.245149,17083.22297,18979.49753,13000.07142,13066.73123,17863.90761,12465.3399,11941.25928,10410.90269,14913.89756,29836.08346,1
6889.111936,14609.75178,12529.06098,10498.77674,14005.89887,9491.234938,17646.81616,18689.01777,13140.33757,13723.42217,16031.82693,12593.59872,11536.93756,9927.135259,14391.67782,33011.25559,1
6615.674546,13706.88309,12189.95559,9835.328255,13732.49903,9985.348485,17162.96553,18147.18585,12590.75323,13274.7862,15954.82828,11859.02774,11332.62507,9172.303792,14872.56098,31766.26529,1
6079.722637,13805.64023,11797.28708,9777.399654,14545.82065,10516.94032,17776.79982,20091.99776,13196.12848,14053.36517,15326.56854,11609.45546,12182.39663,8951.91413,14423.73428,32951.42159,1
5776.3443,13097.95396,13138.14866,9733.541057,14920.60455,10526.75085,17748.16779,19464.16612,13043.31427,14403.80606,16885.94952,12012.89879,12394.90777,8995.033064,14280.27679,30294.54397,1
5800.368767,12276.37849,12789.47631,9904.442313,14872.4388,9907.453102,18764.38459,19953.38031,12941.43801,14027.80023,18623.157,12287.44116,12688.7335,8908.415859,13486.43779,30954.91225,1
6067.140961,11866.64842,12705.74201,10185.18119,14093.28268,9460.232071,17747.99134,18047.07785,11565.93713,14214.26933,19774.3433,12570.46699,12286.196,9438.241179,13881.76009,29138.99576,1
6457.077323,12845.63535,14378.22906,11101.47283,14872.88975,10296.92993,17196.26734,17581.11064,12016.77822,13635.57257,24036.42458,12957.76011,13364.77236,9856.906883,13339.25384,29338.93822,1
6495.66975,13448.35398,17881.80095,12208.14532,15782.32328,11695.20709,15641.22465,14956.84227,12122.37496,14966.8031,26896.87342,14241.55331,14253.86537,10609.33684,12704.61928,27222.45044,1
6494.39783,13941.75279,20938.95709,12185.79133,17340.47183,12820.64437,16034.60419,14912.5233,13706.67957,15491.14767,28406.1852,13954.94249,14472.32378,10802.18031,13070.22108,30435.72364,1
6073.676402,14157.05521,22849.31116,11777.37778,17397.69354,12780.51792,15665.47583,14383.14198,13453.7774,15197.5593,27989.08185,13906.35998,14412.38303,11182.69664,13127.63546,28724.56233,1
5941.54037,13890.32769,21844.57976,11495.82599,16858.25439,12827.45763,17125.94493,15666.721,13115.5873,14638.17135,26438.9988,13727.13139,14170.17483,11053.99076,13863.04467,31426.98985,1
6685.015884,13793.39604,20563.22291,11253.78862,15652.31407,12480.74766,17736.47747,16435.96792,12433.70043,14548.68435,25722.70791,14366.28122,14633.04354,11161.92851,13933.32033,31712.33544,1
6787.804062,12084.55771,21677.2121,12185.09648,17049.36748,13699.536,18348.84045,18286.92304,12144.88703,15086.70116,27295.10654,14898.75894,14750.41942,11675.07885,13696.7014,32697.4595,1
6631.562182,10882.43179,20172.19029,11698.58312,16489.54203,12514.0858,17866.64368,20610.13766,11927.60129,14902.77098,25304.72023,14628.83154,13897.25482,11132.28354,13205.99401,35036.52108,1
5906.775329,10127.8679,19150.16867,11889.71121,16347.47594,12215.25587,16907.70283,19637.68374,11744.93561,14636.34759,25419.05483,14330.39457,13629.1445,12279.99607,13185.27946,31672.03584,1
6186.160726,11254.68381,15272.6427,10008.69348,14693.97917,10947.14358,15819.44722,18851.50187,11443.48712,14573.35751,20855.97369,12684.2388,12638.17327,11412.54358,12775.02894,30361.98545,1
6750.579936,11802.04771,15592.05391,9828.393113,14602.43966,10503.31761,14886.15411,16273.3878,12166.17372,13425.69631,22094.58193,11870.98272,13668.62276,12044.35389,12893.35636,28987.23773,1
6937.966073,12212.36454,15113.88532,9312.868218,13711.32209,10320.23453,15183.00424,16955.01375,12085.30238,12526.75205,22829.3649,11581.39428,13895.46423,11048.3564,12575.5858,30657.69554,1
6559.238632,11519.29793,14356.91607,9798.56404,12462.10142,9788.133994,16851.10853,16869.65519,11513.6424,12269.76177,24606.27764,12208.47736,14912.52514,11756.78842,13437.20904,30032.02354,1
5891.365734,11775.57285,14248.86762,9621.943024,12604.23944,10253.93995,16713.48109,16166.15696,11538.08959,12659.23279,21837.21712,12859.992,13775.67767,10917.63483,12372.2795,28398.04089,1
5777.734498,11301.76033,14943.36478,8899.821634,13348.21007,9698.277345,17062.64886,15202.47813,12493.207,13947.56725,21236.37011,12959.64304,13244.15768,10636.36794,12256.82505,30713.99306,1
6001.095823,11192.22993,14166.18487,8749.980436,12908.21621,9629.430787,16646.43582,14478.99123,13673.25817,13250.89043,19928.37947,13003.77915,12522.6193,10061.71288,12825.93254,32643.27048,1
6291.105253,11139.79607,14030.25408,9145.214467,12145.91478,9982.599918,18876.12755,15530.84578,13853.43391,13314.64325,21465.70482,12721.07139,13058.12314,11094.82563,14852.04319,34959.05139,1
6550.116281,11417.34451,13761.84179,9497.714505,12332.21582,11381.0059,20301.64472,15886.36993,13587.07559,12961.55235,22300.65715,13199.72812,14280.71683,12170.25225,17073.54577,32676.08232,1
6153.514472,12237.70609,14737.89445,9267.690302,13567.50281,11809.11942,18388.96832,16082.27828,13287.25665,14178.48543,22705.21041,12509.4512,14219.84787,12906.16103,16635.30373,32083.36101,1
6130.972353,12144.78809,15095.56667,9313.025448,14728.93055,11192.51898,15495.86569,14886.63668,13498.22139,14128.86355,21978.37995,12099.14242,14225.26018,11523.51537,14586.62409,27252.6485,1
6118.363511,11440.04814,14053.29311,9398.330217,14609.88129,9630.545832,13840.4883,14414.45747,12597.6921,13398.82997,20527.78277,10388.25424,12965.96338,10092.06014,12088.77507,29015.06475,1
