ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
57,59,56,62,48,58,56,60,61,71,43,53,56,46,66,55,1
58,61,52,56,52,58,56,64,65,69,50,58,53,48,72,58,1
61,52,51,58,52,50,55,67,69,68,57,53,58,51,70,54,1
65,57,50,63,53,53,55,68,67,69,56,61,54,55,69,49,1
63,52,53,72,50,61,57,66,62,70,58,63,54,61,63,48,1
64,57,54,74,56,64,59,69,63,70,54,66,51,60,54,53,1
60,56,54,72,56,60,56,70,60,70,56,59,50,58,56,54,1
60,63,50,68,59,52,54,70,63,74,53,58,53,52,64,54,1
54,68,50,70,52,50,58,68,60,82,54,62,50,54,74,55,1
56,69,51,76,51,52,61,72,60,86,54,68,61,54,71,59,1
61,71,58,76,52,56,63,70,61,84,48,69,62,56,71,61,1
64,62,56,73,50,58,58,65,62,79,48,63,62,52,60,60,1
61,62,54,81,53,56,59,64,65,77,47,61,60,60,63,58,1
56,60,49,86,47,49,53,57,73,73,45,57,59,55,59,56,1
55,64,48,91,46,49,59,62,72,71,41,59,61,55,62,58,1
59,63,52,81,43,48,59,62,75,67,42,59,53,43,55,59,1
63,59,55,75,49,51,69,68,69,63,55,61,55,49,59,58,1
64,62,56,66,54,54,61,67,70,67,60,60,60,54,65,58,1
59,63,54,68,55,53,56,62,70,67,56,55,65,61,67,54,1
62,64,55,68,55,59,56,60,74,73,51,53,61,61,63,58,1
64,59,55,76,57,57,60,58,75,70,51,55,53,55,61,54,1
65,56,55,82,59,63,66,59,82,75,56,56,53,50,66,51,1
61,60,53,79,57,58,60,56,80,74,57,58,51,49,63,52,1
59,67,58,72,56,68,64,60,79,80,56,55,54,56,66,58,1
61,70,57,63,52,64,66,61,73,74,59,59,59,57,64,65,1
57,62,57,67,50,69,66,67,72,70,60,61,69,57,67,61,1
56,56,57,68,57,63,63,64,69,65,61,69,76,59,67,60,1
51,57,58,65,65,67,55,63,65,71,56,64,66,61,74,59,1
52,65,54,68,63,60,60,56,66,68,50,62,59,56,76,58,1
52,72,52,66,57,57,61,55,66,70,44,57,56,50,70,57,1
51,67,53,67,51,56,66,59,71,67,39,53,55,45,67,57,1
49,65,68,67,50,58,58,56,71,68,43,58,61,46,58,54,1
50,57,71,64,50,66,57,60,72,68,51,60,70,49,63,51,1
51,66,71,63,53,71,53,58,72,66,58,63,74,61,63,51,1
56,68,57,58,55,70,53,62,63,72,56,54,71,64,70,58,1
55,72,59,61,55,65,50,60,59,69,52,49,59,56,64,60,1
59,64,59,62,50,58,49,58,56,69,53,51,66,58,64,58,1
57,66,63,63,57,66,50,59,61,71,46,59,66,60,58,55,1
57,63,59,65,59,69,57,62,71,69,54,57,65,68,64,52,1
58,64,61,58,64,68,60,64,72,67,55,54,58,61,66,50,1
54,60,60,60,57,59,65,57,66,70,60,52,58,57,65,54,1
54,66,62,64,56,57,63,53,67,73,57,59,57,56,66,58,1
59,68,60,67,50,58,62,54,64,75,58,60,58,56,62,58,1
65,68,59,73,49,54,54,58,68,66,61,65,54,61,59,54,1
61,60,60,77,48,49,55,58,65,65,57,61,56,58,59,52,1
52,58,58,82,50,46,50,58,66,71,52,64,52,57,62,56,1
44,63,58,80,55,56,55,57,69,80,54,62,53,55,68,55,1
48,67,54,76,56,56,55,55,65,82,54,57,56,50,72,55,1
46,65,55,77,58,54,65,48,68,75,52,50,60,47,70,55,1
51,55,55,74,54,47,62,49,66,68,45,53,58,44,59,53,1
52,50,52,76,49,50,57,47,65,71,42,54,55,58,56,51,1
56,53,50,75,56,56,46,48,63,71,48,61,59,66,53,45,1
57,58,51,73,56,57,47,53,64,78,49,57,58,67,61,50,1
46,58,56,65,60,64,46,49,64,75,45,62,60,61,53,44,1
43,55,59,61,59,57,51,48,61,72,40,60,55,50,59,44,1
39,58,55,59,67,59,57,45,63,70,45,66,64,51,56,41,1
42,60,54,64,63,52,62,54,60,68,51,65,70,51,65,47,1
43,67,54,69,62,56,63,56,64,77,49,62,75,61,67,51,1
50,70,63,73,56,59,56,53,60,77,45,55,69,65,69,55,1
55,71,67,75,53,59,59,53,69,82,46,57,57,65,70,57,1
59,65,64,67,47,55,60,52,65,73,52,57,55,63,61,57,1
58,57,60,62,49,55,60,57,71,72,52,58,52,63,67,62,1
60,50,51,58,51,57,59,51,77,67,54,57,57,61,66,62,1
53,55,48,59,55,66,54,51,81,74,48,62,57,60,66,60,1
52,60,45,64,51,60,48,55,75,73,51,63,59,53,62,51,1
51,58,52,64,54,56,45,53,66,73,54,60,60,46,62,52,1
52,50,52,69,49,46,52,55,62,63,58,57,55,46,64,57,1
56,49,56,71,49,51,60,52,66,63,54,53,55,50,60,56,1
52,57,53,71,46,58,60,58,69,70,55,52,57,58,56,53,1
52,60,52,75,49,66,56,63,74,75,58,58,66,60,59,53,1
47,59,49,70,53,67,49,61,68,66,55,58,66,57,59,53,1
47,63,45,68,51,61,50,70,73,66,47,57,69,50,57,58,1
48,69,49,58,52,65,55,65,73,61,45,55,62,48,54,55,1
46,68,53,57,52,60,64,63,73,74,46,58,63,48,56,57,1
51,66,61,67,57,62,66,59,66,66,54,61,58,51,56,59,1
55,63,61,73,61,49,60,59,67,66,52,58,59,50,54,58,1
55,61,60,76,67,55,65,61,71,57,59,59,58,55,53,57,1
55,59,61,66,65,58,64,54,75,62,57,58,59,55,61,54,1
53,55,56,59,60,67,73,51,67,64,57,57,56,53,67,55,1
52,57,52,52,54,62,60,47,63,64,49,48,59,46,70,54,1
47,59,50,48,56,56,61,55,59,59,45,45,57,45,69,55,1
50,62,59,52,55,60,55,65,64,58,50,44,61,53,68,55,1
49,66,57,59,53,59,65,72,65,60,52,51,55,60,73,56,1
55,62,59,67,53,57,68,64,65,68,51,58,54,64,71,52,1
55,61,52,71,51,52,69,56,68,65,42,67,51,52,70,55,1
54,54,53,64,53,55,60,54,71,70,42,66,51,54,62,57,1
55,59,47,64,50,66,56,52,67,66,48,61,53,57,64,63,1
52,58,51,61,54,68,60,50,68,73,54,58,52,65,59,61,1
54,60,53,64,57,63,59,50,59,71,57,59,52,61,67,59,1
52,59,54,54,56,60,60,57,60,71,51,56,55,52,66,61,1
54,61,53,53,54,51,60,62,57,68,57,58,57,55,75,57,1
57,63,54,55,47,62,69,64,63,69,58,54,62,52,67,60,1
56,64,59,62,53,65,69,61,64,72,59,56,69,52,64,55,1
53,68,63,67,53,71,65,58,63,68,53,56,76,47,58,61,1
47,67,61,65,58,65,58,53,59,67,54,60,73,50,58,57,1
46,65,60,62,51,63,55,55,60,60,61,58,66,52,59,57,1
48,63,56,64,54,64,53,53,60,63,60,56,58,52,65,50,1
53,64,57,66,53,62,52,49,59,61,57,51,54,52,64,50,1
70,70,55,60,59,67,59,62,61,88,62,71,63,62,68,52,1
68,70,50,67,55,72,58,57,60,82,60,66,60,54,62,48,1
62,66,48,65,55,64,52,50,61,74,53,57,63,50,62,40,1
58,65,52,66,54,60,53,59,67,69,56,60,63,50,64,47,1
56,65,57,61,56,65,61,65,73,65,61,57,69,59,71,49,1
52,66,54,57,55,72,70,66,71,70,69,64,65,68,78,58,1
52,64,53,57,57,71,75,67,69,70,57,63,62,66,79,58,1
56,64,51,60,56,72,74,66,70,73,52,65,60,62,75,58,1
51,59,62,64,58,64,71,71,73,72,49,63,71,55,72,57,1
48,55,61,64,61,72,68,60,68,74,60,60,85,59,71,53,1
49,57,61,63,62,66,60,59,59,76,66,58,86,59,71,53,1
53,61,63,59,59,76,54,55,62,79,68,55,78,64,68,51,1
57,63,58,64,53,68,52,59,72,83,58,53,60,62,59,57,1
60,60,66,66,57,71,51,63,80,80,58,54,54,58,58,56,1
61,60,56,76,57,58,56,65,78,77,55,58,51,57,60,52,1
60,57,61,72,57,61,54,66,64,76,57,58,67,59,65,49,1
61,59,50,71,52,58,63,64,60,74,51,55,70,62,65,56,1
63,56,52,61,50,66,61,69,46,71,51,51,71,61,65,60,1
58,62,50,59,52,56,61,69,49,65,47,52,58,56,67,60,1
57,63,49,63,50,55,56,67,45,73,53,55,60,55,62,57,1
53,66,51,73,55,55,62,62,63,71,49,56,57,59,63,63,1
63,62,56,75,56,70,61,56,66,71,59,56,60,68,60,61,1
63,59,63,71,58,71,68,58,81,68,63,63,54,73,66,67,1
68,54,60,56,54,68,57,59,76,76,67,65,64,74,71,57,1
59,60,55,49,52,57,58,65,74,77,63,61,63,69,73,57,1
55,61,56,51,55,54,53,66,63,77,54,53,62,63,75,48,1
55,61,62,63,60,53,60,58,62,71,50,48,59,60,75,50,1
53,53,64,67,58,59,57,58,68,76,49,55,62,58,77,51,1
55,52,58,69,61,60,55,53,72,73,60,59,73,61,64,51,1
53,58,57,67,58,62,50,59,77,75,64,61,60,59,65,53,1
